Fornavne til mænd pr. 1. januar 2014

Navn	ANTAL
THORBEN	185
ZORAN	185
KJARTAN	184
BURAK	183
BROR	182
KADIR	181
MAHMUT	181
ERWIN	180
ILYAS	178
ROMEO	178
SALIH	178
SNORRE	178
SVENNING	178
MATS	177
PEDRO	177
SEJR	177
ERVIN	176
FRANCESCO	176
HORST	176
JASMIN	176
MERT	176
SAAD	176
MOSTAFA	175
SENAD	175
THAIS	175
ALEN	174
COLIN	174
EGIL	174
INGVAR	174
NIKOLA	174
FLORIAN	173
JENS-OLE	173
DIETER	172
FLORIN	172
IONUT	172
MIROSLAW	172
AMER	171
EIK	171
HAKON	171
THORE	171
YASSIN	171
DOMINIK	170
YAHYA	170
GORAN	169
JARI	168
WILLI	168
MUSTAPHA	167
PHILIPPE	167
DIRK	166
EILIF	165
FAISAL	165
GILBERT	165
IMAD	165
STEVE	165
YAKUP	165
ALBERTO	164
BEKIR	164
EMILIO	164
HARUN	164
AMAR	163
BERAT	163
ELLIOTT	163
FIRAT	163
HANS-PETER	163
HARLY	163
MINH	163
NIELS-CHRISTIAN	163
NOEL	163
RAFAEL	163
FILLIP	162
JOEN	162
PATRYK	162
VISTI	162
ERKAN	161
FRANCK	161
ISA	161
JORGE	161
MIKA	161
RUDY	161
FURKAN	160
LEONARDO	160
SERKAN	160
TAREK	160
FADI	159
HELMUT	159
PABLO	159
SAYED	159
SÜLEYMAN	159
AYMAN	158
DRAGAN	158
KAROL	158
MAJID	158
MIKKI	158
RUD	158
SALIM	158
STANISLAW	158
JIMI	157
VILLAS	157
FREDERICK	156
ADIL	155
ASLAK	155
DINO	155
FARHAD	155
FRANCIS	154
GORDON	154
MATHIS	154
RICCO	154
DEJAN	153
ELVIS	153
JANNICH	153
JERZY	153
KACPER	153
NIELS-PETER	153
TIMO	153
DMYTRO	152
EDGAR	152
IRFAN	151
MIRSAD	151
MIRZA	151
SALEH	151
BARTOSZ	150
KENTH	150
WILLUM	150
CARL-JOHAN	149
EYVIND	149
VOLODYMYR	149
BJÖRN	148
NELS	148
PIET	148
RACHID	148
RAGNAR	148
SEJER	148
DIEGO	147
ALEXANDRE	146
CHRISTOPH	146
MAHAMED	146
NGOC	146
AZIZ	145
JANICK	145
MATTEO	145
NASER	145
SIXTEN	145
HOSSEIN	144
AZAD	143
JANUSZ	143
ZILAS	143
BEN	142
ERICH	142
GIOVANNI	142
LORENZ	142
MALEK	142
CHANO	141
LEONARD	141
NORBERT	141
SERGII	140
THOBIAS	140
AARON	139
ALAA	139
CEMAL	139
FERDINAND	139
KNUT	139
LEVI	139
MINGUS	139
THORLEIF	139
TIMM	139
NORMAN	138
REGIN	138
BILLY	137
EDUARD	137
HENDRIK	137
INGO	137
ALESSANDRO	136
ALIREZA	136
DONALD	136
STEFANO	136
ANDREA	135
FARID	135
OMID	135
SAMER	135
SAMMY	135
SHAWN	135
ANDI	134
EJGILD	134
ERHARDT	134
FARUK	134
GIUSEPPE	134
HEINI	134
BOJE	133
BUE	133
DAMIR	133
NASSER	133
NATHAN	133
YILMAZ	133
ANDRII	132
BURHAN	132
DINES	132
GEORGIOS	132
IOAN	132
RAINER	132
ARIF	131
CARL-ERIK	131
LUKE	131
TYGE	131
CALLE	130
FERNANDO	130
HILMAR	130
KEITH	130
KENNIE	130
RYSZARD	130
SVENN	130
AYHAN	129
CLIFF	129
DARIUS	129
ENVER	129
JUST	129
KETIL	129
MINDAUGAS	129
NEIL	129
SZYMON	129
TAHIR	129
BÜLENT	128
SADIK	128
EROL	127
JOEY	127
REGNER	126
RENO	126
TEODOR	126
ASIM	125
GERD	125
KERIM	125
CHRISTER	124
CLAUDIO	124
ISSA	124
KEWIN	124
MOHSEN	124
SVERRE	124
ADMIR	123
CENGIZ	123
FOLKE	123
GHULAM	123
JEREMY	123
MILAD	123
NIELS-OLE	123
VASILE	123
ALMIR	122
DOGAN	122
ERCAN	122
ERDAL	122
ILIAS	122
JAMIL	122
LARS-ERIK	122
OLEG	122
OLIVIER	122
RADOSLAW	122
TIMMI	122
ANDRIUS	121
ARILD	121
CLEMENT	121
DANIAL	121
EREN	121
INGEMANN	121
LUDWIG	121
MEHMED	121
ONUR	121
PASCAL	121
RAJA	121
STANLEY	121
USMAN	121
DIRCH	120
LESLIE	120
MATHIES	120
BJARNI	119
EKREM	119
GEORGI	119
HAIDAR	119
HAIDER	119
HAYDAR	119
JÓN	119
MAHER	119
TADEUSZ	119
ANGELO	118
PHILIPP	118
TERJE	118
ANWAR	117
GARY	117
MESUT	117
MIROSLAV	117
QUOC	117
REMI	117
SAEED	117
YASAR	117
ADIS	116
BARIS	116
CAN	116
EDWIN	116
FREDDI	116
HAMED	116
JOZEF	116
OSAMA	116
MIRAN	115
GÖKHAN	114
MARTINUS	114
PAOLO	114
RECEP	114
RICARDO	114
ARIAN	113
EINER	113
FREY	113
HENRYK	113
JAWAD	113
PETAR	113
WILFRED	113
ATTILA	112
JALAL	112
KEAN	112
NERMIN	112
ØJVIND	112
SERHAT	111
TOMMAS	111
CIHAN	110
KELVIN	110
MAHAD	110
TAHA	110
ADOLF	109
AMMAR	109
HANS-JØRN	109
VALTHER	109
HANI	108
MIKAL	108
BASSAM	107
HOANG	107
JENS-JØRGEN	107
JOSÉ	107
MASOUD	107
SEAD	107
ZIAD	107
ABDULKADIR	106
ARDA	106
MD	106
PAVEL	106
ARASH	105
BOBBY	105
CAI	105
FOUAD	105
VALTER	105
DAG	104
GÜNTER	104
ILHAN	104
KONSTANTIN	104
MIKLAS	104
