Fornavne til kvinder pr. 1. januar 2014

Navn	ANTAL
ANNA-GRETHE	221
JUSTYNA	221
EDA	219
LULU	219
PETRINE	219
MARIJA	218
ANN-MARI	217
CAJA	217
GRETHA	217
MAGDALENE	217
RANA	217
ELISABET	216
FELICIA	216
MAGNA	215
FATEMEH	214
ELEONORA	213
MANUELA	213
SINNE	213
ALBERTHE	212
AMALIA	212
ELLI	212
ESMA	211
FADUMO	211
JENSINE	211
ZITA	211
MELIKE	209
OKSANA	209
IZABELA	208
SIBEL	207
SYLWIA	207
ZOFIA	207
ALIA	205
HALIMA	205
SYS	205
ZELIHA	205
ALICJA	204
ASMA	204
HUDA	204
MALIN	204
DANUTA	203
DILEK	203
HELIN	203
TABITA	203
BEATRICE	200
MAJ-BRIT	200
ZEHRA	200
ANNELI	199
HILDE	199
JANINA	199
TARA	199
TONNY	199
AVIAJA	198
MELEK	198
MUNA	198
AGATA	197
KAREN-MARIE	197
NAIA	197
AINO	196
NICKIE	196
LILJA	195
AYOE	194
INNA	194
KATRINA	194
NICOLA	194
ELMA	193
KAJSA	193
NAIMA	193
SANDY	192
ANISA	191
FARAH	191
GUNDA	191
SUSI	191
ETHEL	190
SANNIE	189
MAJSE	187
MARWA	187
RAKEL	187
RITHA	187
BENITA	186
SAVANNAH	186
CINDIE	185
KIRSTI	185
MANAL	185
MARGRETE	185
MARI	185
MONNA	185
ANYA	184
BETHINA	183
GRAZYNA	183
WENDY	183
ANNITTA	182
INES	182
MAGGIE	182
ANN-SOPHIE	181
DERYA	181
GAIA	181
KÄTE	181
MIHAELA	181
THIT	181
ZANDRA	181
HACER	180
LIVIA	180
MYNTHE	180
TRILLE	178
CATJA	177
LIN	177
MARIA-LOUISE	177
MEJSE	177
DINNA	176
EMMELI	176
ANEMONE	175
HÜLYA	175
KATHLEEN	174
DILARA	173
EBRU	173
ELIZA	173
JYTTA	173
NOA	173
ANNE-KATHRINE	172
ANNITA	171
UNNI	171
ANNE-MARGRETHE	170
HIBA	170
SEVIM	170
ESME	169
JO	169
KONNY	169
LIA	169
LIDIA	169
LITA	169
MAHA	169
MEGAN	169
FATME	168
MATHILDA	168
NISA	167
DENICE	166
HALINA	166
ANETA	165
MARITA	165
SAFIA	165
SUSSE	165
JASMINE	164
AICHA	163
ANNABELLA	163
EDINA	163
ELA	163
LANA	163
LUISA	163
FILUCA	162
FRIEDA	162
ANDREEA	161
HEIKE	161
LAYLA	161
SANJA	161
ANNETT	160
GUNILLA	160
NAWAL	160
SAGA	160
DARIA	159
DIANE	159
GABRIELE	159
HENNI	159
PETREA	159
SHILA	159
SONGÜL	159
AMANI	158
ANNICA	158
ASHA	158
AVA	158
FREIA	158
KATHERINE	158
SUZETTE	158
TONNI	158
BAHAR	157
BUSHRA	157
IVANA	157
KAMILA	157
KIMIE	157
MADELINE	157
ASMAA	156
DALIA	156
ELIFE	156
HALIME	156
KÆTHE	156
ÖZLEM	156
CATARINA	155
CEMILE	155
LILL	155
TUGBA	154
ANTONIA	153
KAISA	153
LIANE	153
NATALI	153
SADIA	153
AMELA	152
ANETT	151
ANGELICA	151
ANNA-SOFIE	151
BOZENA	151
HILAL	151
WANDA	151
JOYCE	150
KARIMA	150
LOA	150
MOLLIE	150
SANELA	150
SERIFE	150
TÜRKAN	150
METTE-MARIE	149
FENJA	148
HILDEGARD	148
NOOMI	148
PATRYCJA	148
ALISA	147
BRITHA	147
EMMELY	147
GLORIA	147
KATHRIN	147
RANIA	147
SØRINE	147
CHRISTINNA	146
EMELIE	146
HANSINE	146
BINE	145
TURID	145
AYAH	144
EKATERINA	144
KÜBRA	144
LE	144
SAMIA	144
SENADA	144
EILEEN	143
EWELINA	143
LUCA	143
MICHELL	143
NATHJA	143
RIMA	143
ALEYNA	142
BENNY	142
LUCY	142
SIHAM	142
SVEA	142
KLAUDIA	141
SELIN	141
ADDA	140
AYAN	140
HANNELORE	140
KATERINA	140
LOTUS	140
DILAN	139
IOANA	139
MARYAN	139
MEDINE	139
SAFA	139
THUY	139
UNA	139
VESNA	139
FILIZ	138
VILDE	138
BETINNA	137
EDDA	137
HANIN	137
MALINA	137
NETTE	137
TORA	137
ALVILDA	136
MARY-ANN	136
MAUD	136
MIKA	136
SABRINE	136
SHARON	136
DONNA	135
MERRY	135
CARIN	133
KIRSA	133
KIRSTIN	133
NETHE	133
AIA	132
ALAA	132
EDITA	132
GALINA	132
IEVA	132
JANNA	132
MA	132
MARI-ANN	132
MATILDA	132
MIRELA	132
NATHALIA	132
RAMONA	132
SVITLANA	132
ABIR	131
AYNUR	131
BENTA	131
EDIT	131
HILDUR	131
IREM	131
KATIA	131
NATHASJA	131
OFELIA	131
SIGRUN	131
AJLA	130
CAROLA	130
DEBORAH	130
IVY	130
MARZENA	130
SHAZIA	130
WENCHE	130
	130
NATHALI	129
SAIDA	129
ZAHRAA	129
ANN-KATRINE	128
ELY	128
EVELINA	128
FARIDA	128
GITA	128
SAMAR	128
SUMAYA	128
LATIFA	127
LEISE	127
SAIMA	127
URSZULA	127
UTE	127
WIKTORIA	127
GLADYS	126
GLENNIE	126
IRMGARD	126
SEVGI	126
AGATHE	125
FRANCESCA	125
GABRIELLE	125
HEDDA	125
ROSALINA	125
VIOLETA	125
BENDTE	124
PAMELA	124
AYLA	123
DOMINIKA	123
MICHA	123
SOUAD	123
SYNNØVE	123
AMRA	122
CAMILA	122
DESIREE	122
FATEMA	122
LI	122
MARGARITA	122
NASRIN	122
DINAH	121
FRITZE	121
NATALIIA	121
ANNE-BIRGITTE	120
DANIA	120
MAJBRITH	120
NGOC	120
VIKTORIJA	120
ANNELIE	119
AYSEL	119
BRITH	119
CATALINA	119
ELSEMARIE	119
HEBA	119
KINGA	119
SIGGA	119
ANTJE	118
ELHAM	118
MERAL	118
RENÉE	118
ROBERTA	118
TASJA	118
BETÜL	117
MELIHA	117
MIRJANA	117
PI	117
TETIANA	117
VANDA	117
BERFIN	116
ELSIE	116
SALWA	116
SHIRLEY	116
ANKE	115
AYTEN	115
DITTE-MARIE	115
FRANZISKA	115
GÜLÜZAR	115
LILIANA	115
MIRANDA	115
NATALIYA	115
SUZANA	115
ZUZANNA	115
ALISHA	114
ANNE-MERETE	114
JAQUELINE	114
SUS	114
AHLAM	113
GAMZE	113
HALA	113
SILA	113
WICKI	113
ANINA	112
FAIZA	112
JUDIT	112
KIMBERLY	112
SEHER	112
SEMA	112
SERPIL	112
ASIA	111
BIRGITHE	111
CANAN	111
GURI	111
HODA	111
ISOLDE	111
KISS	111
MADINA	111
MIRSADA	111
SINEM	111
YASMINA	111
ZELINA	111
BÜSRA	110
MERCEDES	110
NAJAT	110
NESRIN	110
PINAR	110
SEMRA	110
CAYA	109
JANICE	109
LUCIE	109
NATASIA	109
SADAF	109
STEFFANIE	109
UMA	109
ADDY	108
KAIA	108
LARISA	108
MARTYNA	108
ROSITA	108
SANAA	108
TASCHA	108
YAN	108
YILDIZ	108
INGE-LIS	107
KELLY	107
KICKI	107
REGINE	107
RUKIYE	107
SUNA	107
VIDA	107
GÜLAY	106
HODAN	106
MELINDA	106
VINI	106
WINIE	106
ZARAH	106
DALAL	105
EMA	105
FLORENCE	105
HONG	105
JUSTINE	105
SABAH	105
TIA	105
HABIBA	104
JEANNETT	104
JING	104
MINE	104
NORAH	104
SUSANA	104
DANIJELA	103
EMELY	103
JULIANA	103
PHUONG	103
SUSSANNE	103
YASMINE	103
ALEXIA	102
ALLA	102
ANELISE	102
ANNAMARIE	102
AYLIN	102
BRENDA	102
CAROL	102
DYVEKE	102
EDYTA	102
HAMIDE	102
ISRAA	102
JACKIE	102
JAMILLA	102
