Efternavne pr. 1. januar 2014

Navn	ANTAL
RASCH	593
STILLING	593
VOIGT	593
WEST	593
GRØNLUND	592
ULRICH	592
TROLLE	590
AGGERHOLM	589
BACHMANN	589
KRØYER	587
RAFN	586
OVERBY	584
BOJSEN	581
KRYGER	581
MYGIND	581
MØRUP	581
BANK	579
MOLLERUP	579
BANKE	578
HØJLUND	578
BREUM	577
BYSKOV	576
HYLDGAARD	574
STENSGAARD	573
WICHMANN	572
BECKER	571
SKIPPER	571
BERING	567
SHAH	567
LUNDGREN	565
AKHTAR	564
GORMSEN	564
HOFF	563
OUTZEN	562
GRØNBECH	560
PALM	560
NYHOLM	558
PONTOPPIDAN	558
AAGESEN	557
DALBY	557
HOVGAARD	557
POLAT	557
SOELBERG	557
GRØNKJÆR	556
BRAMSEN	555
STRANGE	555
VITTRUP	555
EGELUND	554
SECHER	554
SØNDERSKOV	554
FOLDAGER	553
BALSLEV	549
LYNG	549
BERNTSEN	548
KARSTENSEN	548
ENGBERG	547
THAYSEN	546
HØJBJERG	545
LOMHOLT	545
STENDER	545
HALL	544
ALBREKTSEN	543
BENDIX	542
HUYNH	542
RICHTER	542
RØNN	540
KOKHOLM	539
DIDRIKSEN	538
ZHANG	538
CORNELIUSSEN	537
HAGEN	537
HOLCK	537
NIEMANN	537
TANGE	536
APPEL	535
KAPPEL	535
NEERGAARD	534
WIESE	534
BOLL	533
GADEGAARD	532
TURAN	532
GUSTAVSEN	531
SALEH	531
MEJER	529
PETERS	529
STRAARUP	529
WALTHER	529
MIDTGAARD	527
KYED	525
LAM	525
TARP	525
HØJLAND	524
TØNDER	524
MARTENS	520
EJLERSEN	518
EMBORG	518
OTTE	517
ANKER	516
BØGELUND	515
BRØDSGAARD	514
BAUN	511
KØHLER	510
MOSEGAARD	509
THIESEN	508
BREDAHL	506
HESSELLUND	506
LIU	506
EBSEN	505
STØVRING	505
DRACHMANN	504
KREBS	504
LANGKJÆR	503
BROE	502
GRAVGAARD	500
LYSGAARD	500
OTTO	500
REIMER	500
SØNNICHSEN	500
JOSEPHSEN	498
RANDRUP	498
HASLUND	495
HVIDBERG	495
MALIK	495
GRØNBORG	494
HARTVIGSEN	494
PAPE	494
SUHR	494
ØSTERBY	494
BALLING	493
KAMP	493
KEJSER	492
SUNESEN	492
HANDBERG	491
BAUER	490
MUNKSGAARD	490
FALLESEN	489
LAMBERTSEN	488
LUNDE	488
RINDOM	487
BOCK	486
HEGELUND	486
SVENSTRUP	486
BENNEDSEN	485
HALBERG	485
ULRIKSEN	485
WIBERG	485
RYBERG	484
WEINREICH	484
ØSTERGÅRD	484
GAARDE	483
KUDSK	482
ZIMMERMANN	482
BORREGAARD	481
BRINCH	481
ALEXANDERSEN	480
LINDGREN	480
BLADT	479
PETTERSSON	478
BRANDSTRUP	477
KONDRUP	477
ERIKSSON	476
VIBORG	476
WERNER	476
FOSS	475
HVASS	475
PANDURO	475
MØNSTER	474
AMSTRUP	472
HEJLESEN	472
KARA	472
BEIER	471
GULDBERG	471
NORDENTOFT	471
ENGSTRØM	470
THORHAUGE	470
FRANCK	469
HUSUM	468
MØNSTED	468
ROSENLUND	468
RING	467
GRØNHØJ	466
HYLLESTED	466
VEST	466
JONSSON	465
HØJBERG	462
PILEGAARD	462
RYE	462
SKOVBJERG	462
THYSSEN	462
MARTENSEN	461
KRING	458
KLIT	457
OHLSEN	457
BENNETSEN	456
KHALIL	456
VINTER	456
WEISS	456
DAMBORG	455
THISTED	455
STEFANSEN	454
GUSTAFSSON	453
JAMA	453
LUNDGREEN	453
MILLER	453
YUSUF	452
HAASTRUP	451
HALVORSEN	451
THESTRUP	451
BILDE	450
JOHNSON	450
LAUESEN	449
SKOVSGAARD	449
BLICHER	448
GRØNDAHL	448
HOLME	448
MELCHIORSEN	448
MOOS	448
SYLVEST	448
FUNDER	446
GLERUP	446
LENTZ	446
BEGUM	445
FRISK	445
RINGGAARD	445
BUTT	444
LINDGREEN	444
DJURHUUS	442
KONRADSEN	442
LOFT	442
WINKLER	442
NIEBUHR	441
PUGGAARD	441
BRASK	440
GULDBRANDSEN	440
VESTERGÅRD	440
HOLDT	439
TIMM	439
HELBO	438
TOPP	438
BOJESEN	437
FILTENBORG	437
KAMPER	437
BENDSEN	436
KAISER	435
RIISE	435
HEIDE	433
MOHAMMED	433
SEHESTED	433
ELBÆK	432
MAHMOOD	432
BOJE	431
HOPPE	431
KLINT	431
LUNDQVIST	431
DUELUND	430
DREIER	429
LUNDSTRØM	429
WILHELMSEN	429
MAHMOUD	428
BEKKER	427
DEMANT	427
SKAFTE	427
GEISLER	426
HAANING	426
HØJRUP	426
KOK	426
LODBERG	426
MAGNUSSON	426
MOURIDSEN	426
ÖZTÜRK	426
ALS	424
HESSELBERG	424
LIST	424
MØLDRUP	424
